9370892	PEK	1	P32	2013 3 8 3 25	2013 3 8 21 46	1101	294	600	
9337838	PEK	1	P32	2013 3 8 7 05	2013 3 9 0 27	1042	252	600	
9373947	PEK	1	P32	2013 3 8 7 30	2013 3 9 13 55	1825	392	600	
9377888	PEK	1	P32	2013 3 8 7 50	2013 3 9 2 39	1129	448	497	
9343642	PEK	1	P32	2013 3 8 8 30	2013 3 9 16 20	1911	414	600	
9269873	PEK	1	P32	2013 3 8 8 45	2013 3 9 17 57	1992	356	1440	
9338530	PEK	1	P32	2013 3 8 21 30	2013 3 9 18 12	1242	434	600	
9376112	PEK	1	P32	2013 3 8 21 55	2013 3 10 17 59	2644	558	720	
9269882	PEK	1	P32	2013 3 8 22 00	2013 3 10 1 05	1625	427	720	
9376937	PEK	1	P32	2013 3 8 22 25	2013 3 9 17 06	1121	331	600	
9269885	PEK	1	P32	2013 3 8 22 35	2013 3 9 20 41	1326	429	600	
9377899	PEK	1	P32	2013 3 8 22 35	2013 3 9 19 42	1267	296	600	
9269888	PEK	1	P32	2013 3 8 23 10	2013 3 10 22 47	2858	867	600	
9269889	PEK	1	P32	2013 3 8 23 30	2013 3 10 2 00	1591	444	600	
9377918	PEK	1	P32	2013 3 9 2 20	2013 3 9 21 54	1174	182	592	
9377842	PEK	1	P32	2013 3 9 2 40	2013 3 10 17 31	2331	540	600	
9376198	PEK	1	P32	2013 3 9 3 00	2013 3 10 2 20	1400	446	600	
9269895	PEK	1	P32	2013 3 9 5 35	2013 3 10 19 36	2282	474	1440	
9377900	PEK	1	P32	2013 3 9 7 30	2013 3 10 15 06	1897	387	600	
9269898	PEK	1	P32	2013 3 9 7 50	2013 3 10 21 09	2239	424	1440	
9377868	PEK	1	P32	2013 3 9 8 54	2013 3 10 16 11	1877	394	600	
9376938	PEK	1	P32	2013 3 9 10 15	2013 3 10 12 34	1580	242	600	
9377923	PEK	1	P32	2013 3 9 21 55	2013 3 11 13 41	2386	562	600	
9269911	PEK	1	P32	2013 3 9 22 15	2013 3 10 19 45	1290	488	600	
9269916	PEK	1	P32	2013 3 9 22 35	2013 3 10 20 15	1300	460	600	
9304685	PEK	1	P32	2013 3 9 22 35	2013 3 10 20 14	1299	347	600	
9370769	PEK	1	P32	2013 3 9 22 45	2013 3 11 5 47	1863	523	720	
9269919	PEK	1	P32	2013 3 9 23 10	2013 3 11 20 32	2723	895	600	
9301472	PEK	1	P32	2013 3 10 3 50	2013 3 11 17 33	2264	480	720	
